150 0 0 0 0 0
131 19 0 0 0 0
78 72 0 0 0 0
86 64 0 0 0 0
83 67 0 0 0 0
70 80 0 0 0 0
89 61 0 0 0 0
100 50 0 0 0 0
80 64 6 0 0 0
48 40 63 0 0 0
69 30 47 5 0 0
25 26 44 56 0 0
27 30 43 43 7 0
54 10 27 36 23 0
11 61 17 33 29 0
6 48 53 28 16 0
30 25 55 26 14 0
5 48 39 22 35 0
31 38 57 19 4 0
24 56 42 10 19 0
22 49 50 15 15 0
16 65 40 21 8 0
31 13 65 11 31 0
36 11 1 19 83 0
2 10 9 22 107 0
11 14 21 12 92 0
20 18 23 13 77 0
25 18 22 15 71 0
25 15 29 11 70 0
25 17 20 16 71 0
36 14 24 12 64 0
13 19 28 31 58 0
58 10 14 18 51 0
36 15 16 13 70 0
13 19 17 10 92 0
10 14 21 17 88 0
12 9 34 18 77 0
30 18 29 2 71 0
18 21 39 4 69 0
27 5 62 8 49 0
24 0 72 6 47 0
26 0 71 10 42 0
57 0 74 14 5 0
46 0 42 37 25 0
42 0 44 49 15 0
15 0 50 17 43 24
47 0 46 13 3 41
34 0 31 22 32 31
37 0 27 18 31 37
37 0 23 14 28 48
31 0 44 21 28 26
32 0 37 31 29 21
33 0 19 33 24 40
32 0 25 29 22 41
35 0 43 22 30 18
26 0 40 25 27 32
26 0 18 33 22 50
25 0 24 34 28 38
27 0 29 28 27 39
30 0 46 16 24 35
14 0 44 19 41 33
32 0 46 23 14 35
19 0 40 28 25 37
14 0 51 15 34 35
23 0 33 19 40 35
33 0 46 10 40 21
37 0 33 10 34 37
32 0 29 24 28 39
25 0 32 26 31 38
16 0 54 16 32 32
37 0 0 30 36 47
25 0 0 31 52 42
32 0 0 36 42 39
34 0 0 42 29 44
38 0 0 43 29 40
30 0 0 40 37 43
30 0 0 38 37 45
27 0 0 0 73 50
